SampleID	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order
Zamenis_longissimus	Chordata	Lepidosauria	Colubridae	Zamenis	Metazoa	Squamata
Syncerus_caffer	Chordata	Mammalia	Bovidae	Syncerus	Metazoa	Artiodactyla
Loxodonta_africana	Chordata	Mammalia	Elephantidae	Loxodonta	Metazoa	Proboscidea
Rana_dalmatina	Chordata	Amphibia	Ranidae	Rana	Metazoa	Anura
Aldabrachelys_gigantea	Chordata	Reptilia	Testudinidae	Aldabrachelys	Metazoa	Testudines
Capra_ibex	Chordata	Mammalia	Bovidae	Capra	Metazoa	Artiodactyla
Sorex_alpinus	Chordata	Mammalia	Soricidae	Sorex	Metazoa	Eulipotyphla
Salamandra_atra	Chordata	Amphibia	Salamandridae	Salamandra	Metazoa	Caudata
Alligator_mississippiensis	Chordata	Reptilia	Alligatoridae	Alligator	Metazoa	Crocodilia
Lampetra_appendix	Chordata	Petromyzontida	Petromyzontidae	Lampetra	Metazoa	Petromyzontiformes
Camelus_dromedarius	Chordata	Mammalia	Camelidae	Camelus	Metazoa	Artiodactyla
Canis_lupus	Chordata	Mammalia	Canidae	Canis	Metazoa	Carnivora
Aonyx_cinerea	Chordata	Mammalia	Mustelidae	Aonyx	Metazoa	Carnivora
Tachyglossus_aculeatus	Chordata	Mammalia	Tachyglossidae	Tachyglossus	Metazoa	Monotremata
Haliaeetus_leucocephalus	Chordata	Aves	Accipitridae	Haliaeetus	Metazoa	Falconiformes
Mungos_mungo	Chordata	Mammalia	Herpestidae	Mungos	Metazoa	Carnivora
Myodes_glareolus	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia
Branta_leucopsis	Chordata	Aves	Anatidae	Branta	Metazoa	Anseriformes
Martes_foina	Chordata	Mammalia	Mustelidae	Martes	Metazoa	Carnivora
Alouatta_caraya	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates
Lyrurus_tetrix	Chordata	Aves	Phasianidae	Lyrurus	Metazoa	Galliformes
Cricetus_cricetus	Chordata	Mammalia	Cricetidae	Cricetus	Metazoa	Rodentia
Turdus_merula	Chordata	Aves	Turdidae	Turdus	Metazoa	Passeriformes
Sylvia_atricapilla	Chordata	Aves	Sylviidae	Sylvia	Metazoa	Passeriformes
Cercopithecus_ascanius	Chordata	Mammalia	Cercopithecidae	Cercopithecus	Metazoa	Primates
Varanus_albigularis	Chordata	Reptilia	Varanidae	Varanus	Metazoa	Squamata
Alburnus_alburnus	Chordata	Actinopteri	Leuciscidae	Alburnus	Metazoa	Cypriniformes
Connochaetes_taurinus	Chordata	Mammalia	Bovidae	Connochaetes	Metazoa	Artiodactyla
Speculanas_specularis	Chordata	Aves	Anatidae	Speculanas	Metazoa	Anseriformes
Salvelinus_fontinalis	Chordata	Actinopteri	Salmonidae	Salvelinus	Metazoa	Salmoniformes
Ursus_arctos	Chordata	Mammalia	Ursidae	Ursus	Metazoa	Carnivora
Parahyaena_brunnea	Chordata	Mammalia	Hyaenidae	Parahyaena	Metazoa	Carnivora
Apteryx_australis	Chordata	Aves	Apterygidae	Apteryx	Metazoa	Apterygiformes
Ateles_hybridus	Chordata	Mammalia	Atelidae	Ateles	Metazoa	Primates
Lagothrix_lagotricha	Chordata	Mammalia	Atelidae	Lagothrix	Metazoa	Primates
Salmo_trutta	Chordata	Actinopteri	Salmonidae	Salmo	Metazoa	Salmoniformes
Bradypus_variegatus	Chordata	Mammalia	Bradypodidae	Bradypus	Metazoa	Pilosa
Corvus_corone	Chordata	Aves	Corvidae	Corvus	Metazoa	Passeriformes
Casuarius_casuarius	Chordata	Aves	Casuariidae	Casuarius	Metazoa	Casuariiformes
Bos_taurus	Chordata	Mammalia	Bovidae	Bos	Metazoa	Artiodactyla
Pogona_vitticeps	Chordata	Lepidosauria	Agamidae	Pogona	Metazoa	Squamata
Papio_ursinus	Chordata	Mammalia	Cercopithecidae	Papio	Metazoa	Primates
Rupicapra_rupicapra	Chordata	Mammalia	Bovidae	Rupicapra	Metazoa	Artiodactyla
Acanthiza_uropygialis	Chordata	Aves	Acanthizidae	Acanthiza	Metazoa	Passeriformes
Gallus_gallus	Chordata	Aves	Phasianidae	Gallus	Metazoa	Galliformes
Pan_troglodytes	Chordata	Mammalia	Hominidae	Pan	Metazoa	Primates
Gazella_bennettii	Chordata	Mammalia	Bovidae	Gazella	Metazoa	Artiodactyla
Pedostibes_hosii	Chordata	Amphibia	Bufonidae	Pedostibes	Metazoa	Anura
Abramis_brama	Chordata	Actinopteri	Leuciscidae	Abramis	Metazoa	Cypriniformes
Trichosurus_vulpecula	Chordata	Mammalia	Phalangeridae	Trichosurus	Metazoa	Diprotodontia
Cyprinus_carpio	Chordata	Actinopteri	Cyprinidae	Cyprinus	Metazoa	Cypriniformes
Rana_temporaria	Chordata	Amphibia	Ranidae	Rana	Metazoa	Anura
Hemidactylus_frenatus	Chordata	Lepidosauria	Gekkonidae	Hemidactylus	Metazoa	Squamata
Falco_tinnunculus	Chordata	Aves	Falconidae	Falco	Metazoa	Falconiformes
Pica_pica	Chordata	Aves	Corvidae	Pica	Metazoa	Passeriformes
Pipistrellus_pipistrellus	Chordata	Mammalia	Vespertilionidae	Pipistrellus	Metazoa	Chiroptera
Coturnix_coturnix	Chordata	Aves	Phasianidae	Coturnix	Metazoa	Galliformes
Anas_crecca	Chordata	Aves	Anatidae	Anas	Metazoa	Anseriformes
Bufo_bufo	Chordata	Amphibia	Bufonidae	Bufo	Metazoa	Anura
Desmodus_rotundus	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera
Chondrostoma_nasus	Chordata	Actinopteri	Leuciscidae	Chondrostoma	Metazoa	Cypriniformes
Scardinius_erythrophthalmus	Chordata	Actinopteri	Leuciscidae	Scardinius	Metazoa	Cypriniformes
Crocodylus_rhombifer	Chordata	Reptilia	Crocodylidae	Crocodylus	Metazoa	Crocodilia
Testudo_hermanni	Chordata	Reptilia	Testudinidae	Testudo	Metazoa	Testudines
Pterocnemia_pennata	Chordata	Aves	Rheidae	Pterocnemia	Metazoa	Rheiformes
Trachypithecus_delacouri	Chordata	Mammalia	Cercopithecidae	Trachypithecus	Metazoa	Primates
Heteromys_desmarestianus	Chordata	Mammalia	Heteromyidae	Heteromys	Metazoa	Rodentia
Felis_catus	Chordata	Mammalia	Felidae	Felis	Metazoa	Carnivora
Anser_anser	Chordata	Aves	Anatidae	Anser	Metazoa	Anseriformes
Sus_scrofa	Chordata	Mammalia	Suidae	Sus	Metazoa	Artiodactyla
Mandrillus_leucophaeus	Chordata	Mammalia	Cercopithecidae	Mandrillus	Metazoa	Primates
Prunella_modularis	Chordata	Aves	Passeridae	Prunella	Metazoa	Passeriformes
Melanomys_caliginosus	Chordata	Mammalia	Cricetidae	Melanomys	Metazoa	Rodentia
Helogale_parvula	Chordata	Mammalia	Herpestidae	Helogale	Metazoa	Carnivora
Diceros_bicornis	Chordata	Mammalia	Rhinocerotidae	Diceros	Metazoa	Perissodactyla
Macropus_giganteus	Chordata	Mammalia	Macropodidae	Macropus	Metazoa	Diprotodontia
Eudromia_elegans	Chordata	Aves	Tinamidae	Eudromia	Metazoa	Tinamiformes
Dromaius_novaehollandiae	Chordata	Aves	Casuariidae	Dromaius	Metazoa	Casuariiformes
Dromaius_novaehollandiae	Chordata	Aves	Dromaiidae	Dromaius	Metazoa	Casuariiformes
Meles_meles	Chordata	Mammalia	Mustelidae	Meles	Metazoa	Carnivora
Castor_fiber	Chordata	Mammalia	Castoridae	Castor	Metazoa	Rodentia
Phylloscopus_collybita	Chordata	Aves	Phylloscopidae	Phylloscopus	Metazoa	Passeriformes
Lynx_lynx	Chordata	Mammalia	Felidae	Lynx	Metazoa	Carnivora
