SampleID	sample_name_2	studyID	SampleID3	file_filtered_r1r2_combined	reads_per_unfiltered_file	reads_per_file	species_id	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild
Bradypus-variegatus_SAMEA6809531.ebi_filtered_r1r2combined_sampleCombined	13881.SAMEA6809531	13881.0	Bradypus-variegatus_SAMEA6809531.ebi_filtered_r1r2interleaved_sampleinterleaved	Bradypus-variegatus_SAMEA6809531.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	4687274.0	4681548.0	brown-throated_sloth.1	Chordata	Mammalia	Bradypodidae	Bradypus	Metazoa	Pilosa	Bradypus variegatus	Bradypus variegatus	Bradypus_variegatus	Brown-throated sloth			herbivore	Nicaragua		feces	herbivore	herbivore	wild
Chalcites-basalis_SAMEA6809488.ebi_filtered_r1r2combined_sampleCombined	13881.SAMEA6809488	13881.0	Chalcites-basalis_SAMEA6809488.ebi_filtered_r1r2interleaved_sampleinterleaved	Chalcites-basalis_SAMEA6809488.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2010544.0	2010106.0	horsfields_bronze_cuckoo.1	Chordata	Aves	Cuculidae	Chalcites	Metazoa	Cuculiformes	Chalcites basalis	Cuculus canorus	Chalcites_basalis	Horsfields_Bronze_Cuckoo			carnivore	Australia		feces	insectivore	carnivore	wild
Choloepus-didactylus_SAMEA6809544.ebi_filtered_r1r2combined_sampleCombined	13881.SAMEA6809544	13881.0	Choloepus-didactylus_SAMEA6809544.ebi_filtered_r1r2interleaved_sampleinterleaved	Choloepus-didactylus_SAMEA6809544.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	11405774.0	11086930.0	southern_two-toed_sloth.1	Chordata	Mammalia	Megalonychidae	Choloepus	Metazoa	Pilosa	Choloepus didactylus	Choloepus didactylus	Choloepus_didactylus	southern two-toed sloth			herbivore	Austria		feces	folivore	herbivore	captive
Choloepus-hoffmanni_SAMEA6809527.ebi_filtered_r1r2combined_sampleCombined	13881.SAMEA6809527	13881.0	Choloepus-hoffmanni_SAMEA6809527.ebi_filtered_r1r2interleaved_sampleinterleaved	Choloepus-hoffmanni_SAMEA6809527.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	1983646.0	1983064.0	hoffmann's_two-fingered_sloth.1	Chordata	Mammalia	Megalonychidae	Choloepus	Metazoa	Pilosa	Choloepus hoffmanni	Choloepus hoffmanni	Choloepus_hoffmanni	Hoffmann's two-fingered sloth			herbivore	Nicaragua		feces	herbivore	herbivore	wild
Eudromia-elegans_S_S_Temp_D706-AK1544_filtered_r1r2combined	11166.NATL.25082.tinamou	11166.0	Eudromia-elegans_S_S_Temp_D706-AK1544_filtered_r1r2interleaved	Eudromia-elegans_S_S_Temp_D706-AK1544_filtered_r1r2combined.fastq.gz	52067270.0	51754556.0	tinamou.1	Chordata	Aves	Tinamidae	Eudromia	Metazoa	Tinamiformes	Eudromia elegans	Eudromia elegans	Eudromia_elegans	tinamou	flighted			USA			omnivore	omnivore	captive
Gorilla-gorilla_SAMEA6809515.ebi_filtered_r1r2combined_sampleCombined	13881.SAMEA6809515	13881.0	Gorilla-gorilla_SAMEA6809515.ebi_filtered_r1r2interleaved_sampleinterleaved	Gorilla-gorilla_SAMEA6809515.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	4459468.0	4411764.0	western_lowland_gorilla.2	Chordata	Mammalia	Hominidae	Gorilla	Metazoa	Primates	Gorilla gorilla gorilla	Gorilla gorilla gorilla	Gorilla_gorilla	western lowland gorilla			herbivore	Republic of the Congo		feces	herbivore	herbivore	wild
Homo-sapiens_SAMEA6809425.ebi_filtered_r1r2combined_sampleCombined	13881.SAMEA6809425	13881.0	Homo-sapiens_SAMEA6809425.ebi_filtered_r1r2interleaved_sampleinterleaved	Homo-sapiens_SAMEA6809425.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	55200616.0	55172154.0	human.3	Chordata	Mammalia	Hominidae	Homo	Metazoa	Primates	Homo sapiens	Homo sapiens	Homo_sapiens	human			omnivore	Austria		feces	omnivore	omnivore	human
Lemur-catta_Song51_24592_host_filtered_r1r2combined	13114.song.51.s004	13114.0	Lemur-catta_Song51_24592_host_filtered_r1r2interleaved	Lemur-catta_Song51_24592_host_filtered_r1r2combined.fastq.gz	18513374.0	18510390.0	ringtailed_lemur.1	Chordata	Mammalia	Lemuridae	Lemur	Metazoa	Primates	Lemur catta	Lemur catta	Lemur_catta	Ringtailed lemur	flightless	terrestrial, flightless	herbivore	USA			omnivore	omnivore	captive
Pteromys-volans_S_S_Temp_D707-AK1545_filtered_r1r2combined	11166.AR.M18.flyingsquirrel	11166.0	Pteromys-volans_S_S_Temp_D707-AK1545_filtered_r1r2interleaved	Pteromys-volans_S_S_Temp_D707-AK1545_filtered_r1r2combined.fastq.gz	20695232.0	20495598.0	siberian_flying_squirrel.1	Chordata	Mammalia	Sciuridae	Pteromys	Metazoa	Rodentia	Pteromys volans	Sciurus vulgaris	Pteromys_volans	Siberian flying squirrel	flightless			Finland			herbivore	herbivore	wild
Strix-uralensis_SAMEA6809608.ebi_filtered_r1r2combined_sampleCombined	13881.SAMEA6809608	13881.0	Strix-uralensis_SAMEA6809608.ebi_filtered_r1r2interleaved_sampleinterleaved	Strix-uralensis_SAMEA6809608.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	3764164.0	3757742.0	ural_owl.3	Chordata	Aves	Strigidae	Strix	Metazoa	Strigiformes	Strix uralensis	Strix occidentalis caurina	Strix_uralensis	Ural owl			carnivore	Austria		feces	carnivore	carnivore	wild
Trichechus-manatus_Song75_ace_host_filtered_r1r2combined	13114.song.75.s003	13114.0	Trichechus-manatus_Song75_ace_host_filtered_r1r2interleaved	Trichechus-manatus_Song75_ace_host_filtered_r1r2combined.fastq.gz	28571758.0	28490842.0	florida_manatee.1	Chordata	Mammalia	Trichechidae	Trichechus	Metazoa	Sirenia	Trichechus manatus latirostris	Trichechus manatus latirostris	Trichechus_manatus	Florida manatee	flightless	terrestrial, flightless	herbivore	USA			herbivore	herbivore	captive
Varanus-acanthurus_Song52_25032_host_filtered_r1r2combined	13114.song.52.s005	13114.0	Varanus-acanthurus_Song52_25032_host_filtered_r1r2interleaved	Varanus-acanthurus_Song52_25032_host_filtered_r1r2combined.fastq.gz	21399102.0	21399078.0	spiny-tailed_monitor.1	Chordata	Reptilia	Varanidae	Varanus	Metazoa	Squamata	Varanus acanthurus acanthurus	Varanus komodoensis	Varanus_acanthurus	Spiny-tailed monitor	flightless	terrestrial, flightless	carnivore	USA			carnivore	carnivore	captive
