SampleID	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	species_id	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	reference_host_for_filtering	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild
Artibeus-intermedius_S_S_Temp_D709-AK1780_filtered_r1r2combined	Chordata	Mammalia	Phyllostomidae	Artibeus	Metazoa	Chiroptera	Artibeus intermedius	great_fruit-eating_bat.1	Artibeus jamaicensis	Artibeus_intermedius	great fruit-eating bat	flighted			Costa Rica			frugivore	herbivore	wild	
Carollia-perspicillata_S_S_Temp_D709-AK1682_filtered_r1r2combined	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia perspicillata	sebas_short-tailed_bat.1	Carollia perspicillata	Carollia_perspicillata	Sebas short-tailed bat	flighted			Costa Rica			frugivore	herbivore	wild	
Carollia-perspicillata_S_S_Temp_D712-AK1544_filtered_r1r2combined	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia perspicillata	sebas_short-tailed_bat.2	Carollia perspicillata	Carollia_perspicillata	Sebas short-tailed bat	flighted			Costa Rica			frugivore	herbivore	wild	
Carollia-perspicillata_S_S_Temp_D712-AK1546_filtered_r1r2combined	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia perspicillata	sebas_short-tailed_bat.3	Carollia perspicillata	Carollia_perspicillata	Sebas short-tailed bat	flighted			Costa Rica			frugivore	herbivore	wild	
Carollia-perspicillata_S_S_Temp_D709-AK1681_filtered_r1r2combined	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia perspicillata	sebas_short-tailed_bat.4	Carollia perspicillata	Carollia_perspicillata	Sebas short-tailed bat	flighted			Costa Rica			frugivore	herbivore	wild	
Carollia-sowelli_S_S_Temp_D712-AK1545_filtered_r1r2combined	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia sowelli	sowells_short-tailed_bat.1	Carollia perspicillata	Carollia_sowelli	Sowells short-tailed bat	flighted			Costa Rica			frugivore	herbivore	wild	
Lampetra-appendix_S_S_Temp_D703-AK1680_filtered_r1r2combined	Chordata	Hyperoartia	Petromyzontidae	Lampetra	Metazoa	Petromyzontiformes	Lampetra appendix	american_brook_lamprey.1	Petromyzon marinus	Lampetra_appendix	American brook lamprey	flightless			USA			filter_feeder	carnivore	wild	
Lampetra-appendix_S_S_Temp_D702-AK1780_filtered_r1r2combined	Chordata	Hyperoartia	Petromyzontidae	Lampetra	Metazoa	Petromyzontiformes	Lampetra appendix	american_brook_lamprey.2	Petromyzon marinus	Lampetra_appendix	American brook lamprey	flightless			USA			filter_feeder	carnivore	wild	
Lampetra-appendix_S_S_Temp_D702-AK1544_filtered_r1r2combined	Chordata	Hyperoartia	Petromyzontidae	Lampetra	Metazoa	Petromyzontiformes	Lampetra appendix	american_brook_lamprey.3	Petromyzon marinus	Lampetra_appendix	American brook lamprey	flightless			USA			filter_feeder	carnivore	wild	
Haliaeetus-leucocephalus_S_S_Temp_D707-AK1543_filtered_r1r2combined	Chordata	Aves	Accipitridae	Haliaeetus	Metazoa	Falconiformes	Haliaeetus leucocephalus	bald_eagle.1	Haliaeetus leucocephalus	Haliaeetus_leucocephalus	Bald eagle	flighted			USA			scavenger	carnivore	captive	
Mungos-mungo_S_S_Temp_D704-AK1780_filtered_r1r2combined	Chordata	Mammalia	Herpestidae	Mungos	Metazoa	Carnivora	Mungos mungo	banded_mongoose.2	Mungos mungo	Mungos_mungo	banded mongoose	flightless			USA			herbivore	herbivore	captive	
Speculanas-specularis_S_S_Temp_D709-AK1546_filtered_r1r2combined	Chordata	Aves	Anatidae	Speculanas	Metazoa	Anseriformes	Speculanas specularis	bronzewinged_duck.1	Heteronetta atricapilla	Speculanas_specularis	Bronzewinged duck	flighted			Switzerland			omnivore	omnivore	captive	
Hyaena-brunnea_S_S_Temp_D701-AK1682_filtered_r1r2combined	Chordata	Mammalia	Hyaenidae	Parahyaena	Metazoa	Carnivora	Hyaena brunnea	brown_hyena.1	Crocuta crocuta	Parahyaena_brunnea	Brown hyena	flightless			France			scavenger	carnivore	captive	
Apteryx-mantelli_S_S_Temp_D706-AK1546_filtered_r1r2combined	Chordata	Aves	Apterygidae	Apteryx	Metazoa	Apterygiformes	Apteryx australis	brown_kiwi.2	Apteryx mantelli	Apteryx_australis	brown kiwi	flightless			USA			carnivore	carnivore	captive	
Apteryx-mantelli_S_S_Temp_D706-AK1681_filtered_r1r2combined	Chordata	Aves	Apterygidae	Apteryx	Metazoa	Apterygiformes	Apteryx australis	brown_kiwi.3	Apteryx mantelli	Apteryx_australis	brown kiwi	flightless			USA			carnivore	carnivore	captive	
Casuarius-casuarius_S_S_Temp_D703-AK1780_filtered_r1r2combined	Chordata	Aves	Casuariidae	Casuarius	Metazoa	Casuariiformes	Casuarius casuarius	cassowary.3	Casuarius casuarius	Casuarius_casuarius	Cassowary	flightless			USA			frugivore	herbivore	captive	
Casuarius-casuarius_S_S_Temp_D705-AK1545_filtered_r1r2combined	Chordata	Aves	Casuariidae	Casuarius	Metazoa	Casuariiformes	Casuarius casuarius	cassowary.4	Casuarius casuarius	Casuarius_casuarius	cassowary	flightless			USA			frugivore	herbivore	captive	
Desmodus-rotundus_S_S_Temp_D707-AK1546_filtered_r1r2combined	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus rotundus	common_rudd.2	Desmodus rotundus	Desmodus_rotundus	common vampire bat	flighted			Mexico			sanguivore	carnivore	wild	
Desmodus-rotundus_S_S_Temp_D708-AK1543_filtered_r1r2combined	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus rotundus	common_teal.1	Desmodus rotundus	Desmodus_rotundus	common vampire bat	flighted			Mexico			sanguivore	carnivore	wild	
Desmodus-rotundus_S_S_Temp_D708-AK1544_filtered_r1r2combined	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus rotundus	common_toad.1	Desmodus rotundus	Desmodus_rotundus	common vampire bat	flighted			Mexico			sanguivore	carnivore	wild	
Desmodus-rotundus_S_S_Temp_D707-AK1544_filtered_r1r2combined	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus rotundus	common_toad.2	Desmodus rotundus	Desmodus_rotundus	common vampire bat	flighted			Mexico			sanguivore	carnivore	wild	
Desmodus-rotundus_S_S_Temp_D708-AK1680_filtered_r1r2combined	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus rotundus	common_vampire_bat.1	Desmodus rotundus	Desmodus_rotundus	common vampire bat	flighted			Mexico			sanguivore	carnivore	wild	
Desmodus-rotundus_S_S_Temp_D708-AK1682_filtered_r1r2combined	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus rotundus	common_vampire_bat.2	Desmodus rotundus	Desmodus_rotundus	common vampire bat	flighted			Mexico			sanguivore	carnivore	wild	
Desmodus-rotundus_S_S_Temp_D709-AK1680_filtered_r1r2combined	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus rotundus	common_vampire_bat.3	Desmodus rotundus	Desmodus_rotundus	common vampire bat	flighted			Mexico			sanguivore	carnivore	wild	
Desmodus-rotundus_S_S_Temp_D708-AK1780_filtered_r1r2combined	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus rotundus	common_vampire_bat.4	Desmodus rotundus	Desmodus_rotundus	common vampire bat	flighted			Mexico			sanguivore	carnivore	wild	
Rhea-pennata_S_S_Temp_D709-AK1543_filtered_r1r2combined	Chordata	Aves	Rheidae	Pterocnemia	Metazoa	Rheiformes	Rhea pennata	darwins_rhea.1	Rhea pennata	Pterocnemia_pennata	Darwins rhea	flightless			Switzerland			herbivore	herbivore	captive	
Helogale-parvula_S_S_Temp_D704-AK1544_filtered_r1r2combined	Chordata	Mammalia	Herpestidae	Helogale	Metazoa	Carnivora	Helogale parvula	dwarf_mongoose.2	Helogale parvula	Helogale_parvula	dwarf mongoose	flightless			USA			insectivore	carnivore	captive	
Eudromia-elegans_S_S_Temp_D710-AK1682_filtered_r1r2combined	Chordata	Aves	Tinamidae	Eudromia	Metazoa	Tinamiformes	Eudromia elegans	elegant_crested_tinamou.1	Eudromia elegans	Eudromia_elegans	elegant crested tinamou	flighted			France			omnivore	omnivore	captive	
Eudromia-elegans_S_S_Temp_D706-AK1680_filtered_r1r2combined	Chordata	Aves	Tinamidae	Eudromia	Metazoa	Tinamiformes	Eudromia elegans	elegant_crested_tinamou.2	Eudromia elegans	Eudromia_elegans	elegant crested tinamou	flighted			USA			omnivore	omnivore	captive	
Dromaius-novaehollandiae_S_S_Temp_D705-AK1544_filtered_r1r2combined	Chordata	Aves	Dromaiidae	Dromaius	Metazoa	Casuariiformes	Dromaius novaehollandiae	emu.2	Dromaius novaehollandiae	Dromaius_novaehollandiae	emu	flightless			USA			carnivore	carnivore	captive	
Cryptoprocta-ferox_S_S_Temp_D704-AK1546_filtered_r1r2combined	Chordata	Mammalia	Eupleridae	Cryptoprocta	Metazoa	Carnivora	Cryptoprocta ferox	fossa.1	Cryptoprocta ferox	Cryptoprocta_ferox	Fossa	flightless			USA			carnivore	carnivore	captive	
Tachyeres-pteneres_S_S_Temp_D710-AK1681_filtered_r1r2combined	Chordata	Aves	Anatidae	Tachyeres	Metazoa	Anseriformes	Tachyeres pteneres	fuegian_steamer_duck.1	Branta canadensis	Tachyeres_pteneres	Fuegian steamer duck	flightless			Switzerland			insectivore	carnivore	captive	
Geospiza-acutirostris_S_S_Temp_D712-AK1780_filtered_r1r2combined	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza acutirostris	genovesa_ground_finch.1	Geospiza fortis		Genovesa ground finch	flighted			Ecuador			"insectivore, granivore"	omnivore	wild	
Geospiza-acutirostris_S_S_Temp_D712-AK1680_filtered_r1r2combined	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza acutirostris	genovesa_ground_finch.2	Geospiza fortis		Genovesa ground finch	flighted			Ecuador			"insectivore, granivore"	omnivore	wild	
Balantiopteryx-plicata_S_S_Temp_D708-AK1545_filtered_r1r2combined	Chordata	Mammalia	Emballonuridae	Balantiopteryx	Metazoa	Chiroptera	Balantiopteryx plicata	gray_sacwinged_bat.1	Desmodus rotundus	Balantiopteryx_plicata	gray sacwinged bat	flighted			Mexico			insectivore	carnivore	wild	
Rhea-americana_S_S_Temp_D709-AK1545_filtered_r1r2combined	Chordata	Aves	Rheidae	Rhea	Metazoa	Rheiformes	Rhea americana	greater_rhea.1	Rhea americana	Rhea_americana	Greater rhea	flightless			France			omnivore	omnivore	captive	
Parabuteo-unicinctus_S_S_Temp_D711-AK1543_filtered_r1r2combined	Chordata	Aves	Accipitridae	Parabuteo	Metazoa	Falconiformes	Parabuteo unicinctus	harris_hawk.1	Haliaeetus leucocephalus	Parabuteo_unicinctus	Harris hawk	flighted			USA			carnivore	carnivore	captive	
Necrosyrtes-monachus_S_S_Temp_D707-AK1682_filtered_r1r2combined	Chordata	Aves	Accipitridae	Necrosyrtes	Metazoa	Falconiformes	Necrosyrtes monachus	hooded_vulture.1	Haliaeetus leucocephalus	Necrosyrtes_monachus	Hooded vulture	flighted			USA			scavenger	carnivore	captive	
Necrosyrtes-monachus_S_S_Temp_D707-AK1780_filtered_r1r2combined	Chordata	Aves	Accipitridae	Necrosyrtes	Metazoa	Falconiformes	Necrosyrtes monachus	hooded_vulture.2	Haliaeetus leucocephalus	Necrosyrtes_monachus	Hooded vulture	flighted			USA			scavenger	carnivore	captive	
Aptenodytes-patagonicus_S_S_Temp_D711-AK1545_filtered_r1r2combined	Chordata	Aves	Spheniscidae	Aptenodytes	Metazoa	Sphenisciformes	Aptenodytes patagonicus	king_penguin.1	Aptenodytes patagonicus	Aptenodytes_patagonicus	King penguin	flightless			Switzerland			carnivore	carnivore	captive	
Aptenodytes-patagonicus_S_S_Temp_D710-AK1680_filtered_r1r2combined	Chordata	Aves	Spheniscidae	Aptenodytes	Metazoa	Sphenisciformes	Aptenodytes patagonicus	king_penguin.2	Aptenodytes patagonicus	Aptenodytes_patagonicus	King penguin	flightless			Switzerland			carnivore	carnivore	captive	
Sarcoramphus-papa_S_S_Temp_D705-AK1682_filtered_r1r2combined	Chordata	Aves	Cathartidae	Sarcoramphus	Metazoa	Ciconiiformes	Sarcoramphus papa	king_vulture.2	Cathartes aura	Sarcoramphus_papa	king vulture	flighted			USA			scavenger	carnivore	captive	
Sarcoramphus-papa_S_S_Temp_D705-AK1780_filtered_r1r2combined	Chordata	Aves	Cathartidae	Sarcoramphus	Metazoa	Ciconiiformes	Sarcoramphus papa	king_vulture.3	Cathartes aura	Sarcoramphus_papa	king vulture	flighted			USA			scavenger	carnivore	captive	
Apteryx-mantelli_S_S_Temp_D705-AK1546_filtered_r1r2combined	Chordata	Aves	Apterygidae	Apteryx	Metazoa	Apterygiformes	Apteryx australis	kiwi.1	Apteryx mantelli	Apteryx_australis	kiwi	flightless			USA			carnivore	carnivore	captive	
Apteryx-mantelli_S_S_Temp_D706-AK1682_filtered_r1r2combined	Chordata	Aves	Apterygidae	Apteryx	Metazoa	Apterygiformes	Apteryx australis	kiwi.2	Apteryx mantelli	Apteryx_australis	kiwi	flightless			USA			carnivore	carnivore	captive	
Falco-biarmicus_S_S_Temp_D707-AK1681_filtered_r1r2combined	Chordata	Aves	Falconidae	Falco	Metazoa	Falconiformes	Falco biarmicus	lanner_falcon.1	Falco tinnunculus	Falco_biarmicus	Lanner falcon	flighted			USA			carnivore	carnivore	captive	
Torgos-tracheliotus_S_S_Temp_D703-AK1682_filtered_r1r2combined	Chordata	Aves	Accipitridae	Torgos	Metazoa	Falconiformes	Torgos tracheliotus	lappet_faced_vulture.2	Haliaeetus leucocephalus	Torgos_tracheliotos	Lappet faced vulture	flighted			USA			carnivore	carnivore	captive	
Suricata-suricatta_S_S_Temp_D705-AK1681_filtered_r1r2combined	Chordata	Mammalia	Herpestidae	Suricata	Metazoa	Carnivora	Suricata suricatta	meerkat.1	Suricata suricatta	Suricata_suricatta	Meerkat	flightless			USA			insectivore	carnivore	captive	
