SampleID	sample_name_2	studyID	SampleID2	file_filtered_r1r2_combined	reads_per_file	species_id	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	host_common_name	host_flight	host_modality	host_diet	country	habitat	sample_type
Zamenis_longissimus	13881.SAMEA6809468	13881	Zamenis-longissimus_SAMEA6809441.ebi_filtered_r1r2combined_sampleCombined	Zamenis-longissimus_SAMEA6809441.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2090538	aesculapian_snake.1	Chordata	Reptilia	Colubridae	Zamenis	Metazoa	Squamata	Zamenis longissimus	Aesculapian_Snake				Austria		feces
Syncerus_caffer	13881.SAMEA6809490	13881	Syncerus-caffer_SAMEA6809581.ebi_filtered_r1r2combined_sampleCombined	Syncerus-caffer_SAMEA6809581.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	11153206	african_buffalo.1	Chordata	Mammalia	Bovidae	Syncerus	Metazoa	Artiodactyla	Syncerus caffer	African buffalo				Tanzania		feces
Loxodonta_africana	13881.SAMEA6809591	13881	Loxodonta-africana_SAMEA6809543.ebi_filtered_r1r2combined_sampleCombined	Loxodonta-africana_SAMEA6809543.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	1202484	african_savanna_elephant.1	Chordata	Mammalia	Elephantidae	Loxodonta	Metazoa	Proboscidea	Loxodonta africana	African savanna elephant				Austria		feces
Loxodonta_africana	13881.SAMEA6809628	13881	Loxodonta-africana_SAMEA6809570.ebi_filtered_r1r2combined_sampleCombined	Loxodonta-africana_SAMEA6809570.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	9913138	african_savanna_elephant.2	Chordata	Mammalia	Elephantidae	Loxodonta	Metazoa	Proboscidea	Loxodonta africana	African savanna elephant				South Africa		feces
Rana_dalmatina	13881.SAMEA6809436	13881	Rana-dalmatina_SAMEA6809420.ebi_filtered_r1r2combined_sampleCombined	Rana-dalmatina_SAMEA6809420.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2831584	agile_frog.1	Chordata	Amphibia	Ranidae	Rana	Metazoa	Anura	Rana dalmatina	agile frog				Austria		feces
Rana_dalmatina	13881.SAMEA6809590	13881	Rana-dalmatina_SAMEA6809542.ebi_filtered_r1r2combined_sampleCombined	Rana-dalmatina_SAMEA6809542.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2024264	agile_frog.2	Chordata	Amphibia	Ranidae	Rana	Metazoa	Anura	Rana dalmatina	agile frog				Austria		feces
Aldabrachelys_gigantea	13114.song.52.s002	13114	Aldabrachelys-gigantea_Song52_24069_host_filtered_r1r2combined	Aldabrachelys-gigantea_Song52_24069_host_filtered_r1r2combined.fastq.gz	22735918	aldabra_giant_tortoise.1	Chordata	Reptilia	Testudinidae	Aldabrachelys	Metazoa	Testudines	Aldabrachelys gigantea	Aldabra giant tortoise	flightless	"terrestrial, flightless"	herbivore			
Capra_ibex	13881.SAMEA6809383	13881	Capra-ibex_SAMEA6809380.ebi_filtered_r1r2combined_sampleCombined	Capra-ibex_SAMEA6809380.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	13232282	alpine_ibex.1	Chordata	Mammalia	Bovidae	Capra	Metazoa	Artiodactyla	Capra ibex	Alpine ibex				Austria		feces
Capra_ibex	13881.SAMEA6809384	13881	Capra-ibex_SAMEA6809381.ebi_filtered_r1r2combined_sampleCombined	Capra-ibex_SAMEA6809381.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	17017500	alpine_ibex.2	Chordata	Mammalia	Bovidae	Capra	Metazoa	Artiodactyla	Capra ibex	Alpine ibex				Austria		feces
Capra_ibex	13881.SAMEA6809460	13881	Capra-ibex_SAMEA6809436.ebi_filtered_r1r2combined_sampleCombined	Capra-ibex_SAMEA6809436.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	8412152	alpine_ibex.3	Chordata	Mammalia	Bovidae	Capra	Metazoa	Artiodactyla	Capra ibex	Alpine ibex				Austria		feces
Sorex_alpinus	13881.SAMEA6809374	13881	Sorex-alpinus_SAMEA6809372.ebi_filtered_r1r2combined_sampleCombined	Sorex-alpinus_SAMEA6809372.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	6480010	alpine_salamander.1	Chordata	Mammalia	Soricidae	Sorex	Metazoa	Eulipotyphla	Sorex alpinus	alpine shrew				Austria		gut
Salamandra_atra	13881.SAMEA6809565	13881	Salamandra-atra_SAMEA6809519.ebi_filtered_r1r2combined_sampleCombined	Salamandra-atra_SAMEA6809519.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	605706	alpine_shrew.1	Chordata	Amphibia	Salamandridae	Salamandra	Metazoa	Caudata	Salamandra atra	Alpine_Salamander				Austria		feces
