SampleID	SubjectID	SubjectID2	SubjectID3	captive_wild	Primary_dietary_category_jeff	bloodfeeder	flight_status	flight_type	Corrected_species_name	CorrectedSpeciesName2	Taxonomy_Class	Taxonomy_Family	Taxonomy_Genus	Taxonomy_Kingdom	Taxonomy_Order	Taxonomy_Phylum
escherichia_coli_K12_MG1655	RGEcoliK12MG1655	 RGEcoliK12MG1655	 RGEcoliK12MG1655	 RGEcoliK12MG1655	 RGEcoliK12MG1655	 RGEcoliK12MG1655	 RGEcoliK12MG1655	 RGEcoliK12MG1655	 RGEcoliK12MG1655	RGEcoliK12MG1655	 RGEcoliK12MG1655	 RGEcoliK12MG1655	 RGEcoliK12MG1655	 RGEcoliK12MG1655	 RGEcoliK12MG1655	 RGEcoliK12MG1655
escherichia_coli_o157_h7	RGEcoliO157H7	RGEcoliO157H7	RGEcoliO157H7	RGEcoliO157H7	RGEcoliO157H7	RGEcoliO157H7	RGEcoliO157H7	RGEcoliO157H7	RGEcoliO157H7	RGEcoliO157H7	RGEcoliO157H7	RGEcoliO157H7	RGEcoliO157H7	RGEcoliO157H7	RGEcoliO157H7	RGEcoliO157H7
pseudomonas_yamanorum	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG
ruthenibacterium_lactatiformans	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG
bacteroides_fragilis	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG
clostridium_perfringens	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG
bacteroides_vulgatus	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG
bacteroides_uniformis	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG
bacteroides_thetaiotaomicron	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG
desulfovibrio_piger	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG
parabacteroides_distasonis	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG
plesiomonas_shigelloides	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG
prevotella_copri	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG
butyricimonas_virosa	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG	RG
Song53_24613_host_filtered_r1r2combined	Acryllium_vulturinum	Acryllium~vulturinum	Acryllium-vulturinum	captive	Omnivore	no	flighted	strong	Acryllium_vulturinum	AcrylliumVulturinum	Aves	Numididae	Acryllium	Metazoa	Galliformes	Chordata
Song52_24069_host_filtered_r1r2combined	Aldabrachelys_gigantea	Aldabrachelys~gigantea	Aldabrachelys-gigantea	captive	Herbivore	no	flightless	flightless	Aldabrachelys_gigantea	AldabrachelysGigantea	Chelonia	Testudinidae	Aldabrachelys	Metazoa	Testudines	Chordata
Song52_25047_host_filtered_r1r2combined	Alligator_mississippiensis	Alligator~mississippiensis	Alligator-mississippiensis	captive	Carnivore	no	flightless	flightless	Alligator_mississippiensis	AlligatorMississippiensis	Crocodylomorpha	Alligatoridae	Alligator	Metazoa	Crocodylia	Chordata
Song75_24535_host_filtered_r1r2combined	Aonyx_cinerea	Aonyx~cinerea	Aonyx-cinerea	captive	Carnivore	no	flightless	flightless	Aonyx_cinerea	AonyxCinerea	Mammalia	Mustelidae	Aonyx	Metazoa	Carnivora	Chordata
Aptenodytes-patagonicus_S_S_Temp_D710-AK1680_filtered_r1r2combined	Aptenodytes_patagonicus_1	Aptenodytes~patagonicus~1	Aptenodytes-patagonicus-1	captive	Carnivore	no	flightless	flightless	Aptenodytes_patagonicus	AptenodytesPatagonicus	Aves	Spheniscidae	Aptenodytes	Metazoa	Sphenisciformes	Chordata
Aptenodytes-patagonicus_S_S_Temp_D711-AK1545_filtered_r1r2combined	Aptenodytes_patagonicus_2	Aptenodytes~patagonicus~2	Aptenodytes-patagonicus-2	captive	Carnivore	no	flightless	flightless	Aptenodytes_patagonicus	AptenodytesPatagonicus	Aves	Spheniscidae	Aptenodytes	Metazoa	Sphenisciformes	Chordata
Apteryx-mantelli_S_S_Temp_D705-AK1546_filtered_r1r2combined	Apteryx_australis_1	Apteryx~australis~1	Apteryx-australis-1	captive	Omnivore	no	flightless	flightless	Apteryx_australis	ApteryxAustralis	Aves	Apterygidae	Apteryx	Metazoa	Apterygiformes	Chordata
Apteryx-mantelli_S_S_Temp_D706-AK1546_filtered_r1r2combined	Apteryx_australis_2	Apteryx~australis~2	Apteryx-australis-2	captive	Omnivore	no	flightless	flightless	Apteryx_australis	ApteryxAustralis	Aves	Apterygidae	Apteryx	Metazoa	Apterygiformes	Chordata
Apteryx-mantelli_S_S_Temp_D706-AK1681_filtered_r1r2combined	Apteryx_australis_3	Apteryx~australis~3	Apteryx-australis-3	captive	Omnivore	no	flightless	flightless	Apteryx_australis	ApteryxAustralis	Aves	Apterygidae	Apteryx	Metazoa	Apterygiformes	Chordata
Apteryx-mantelli_S_S_Temp_D706-AK1682_filtered_r1r2combined	Apteryx_australis_4	Apteryx~australis~4	Apteryx-australis-4	captive	Omnivore	no	flightless	flightless	Apteryx_australis	ApteryxAustralis	Aves	Apterygidae	Apteryx	Metazoa	Apterygiformes	Chordata
Song53_24657_host_filtered_r1r2combined	Apteryx_australis_5	Apteryx~australis~5	Apteryx-australis-5	captive	Omnivore	no	flightless	flightless	Apteryx_australis	ApteryxAustralis	Aves	Apterygidae	Apteryx	Metazoa	Apterygiformes	Chordata
Song53_24073_host_filtered_r1r2combined	Ardeotis_kori	Ardeotis~kori	Ardeotis-kori	captive	Omnivore	no	flighted	strong	Ardeotis_kori	ArdeotisKori	Aves	Otididae	Ardeotis	Metazoa	Gruiformes	Chordata
Artibeus-intermedius_S_S_Temp_D709-AK1780_filtered_r1r2combined	Artibeus_intermedius	Artibeus~intermedius	Artibeus-intermedius	wild	frugivore	no	flighted	strong	Artibeus_intermedius	ArtibeusIntermedius	Mammalia	Phyllostomidae	Artibeus	Metazoa	Chiroptera	Chordata
Song52_24663_host_filtered_r1r2combined	Astrochelys_radiata	Astrochelys~radiata	Astrochelys-radiata	captive	Herbivore	no	flightless	flightless	Astrochelys_radiata	AstrochelysRadiata	Chelonia	Testudinidae	Astrochelys	Metazoa	Testudines	Chordata
Balantiopteryx-plicata_S_S_Temp_D708-AK1545_filtered_r1r2combined	Balantiopteryx_plicata	Balantiopteryx~plicata	Balantiopteryx-plicata	wild	Carnivore	no	flighted	strong	Balantiopteryx_plicata	BalantiopteryxPlicata	Mammalia	Emballonuridae	Balantiopteryx	Metazoa	Chiroptera	Chordata
Buteo-jamaicensis_S_S_Temp_D707-AK1680_filtered_r1r2combined	Buteo_jamaicensis	Buteo~jamaicensis	Buteo-jamaicensis	captive	Carnivore	no	flighted	strong	Buteo_jamaicensis	ButeoJamaicensis	Aves	Accipitridae	Buteo	Metazoa	Falconiformes	Chordata
Callosciurus-prevostii_S_S_Temp_D704-AK1543_filtered_r1r2combined	Callosciurus_prevostii_1	Callosciurus~prevostii~1	Callosciurus-prevostii-1	captive	fruigivore 	no	flightless	flightless	Callosciurus_prevostii	CallosciurusPrevostii	Mammalia	Sciuridae	Callosciurus	Metazoa	Rodentia	Chordata
Callosciurus-prevostii_S_S_Temp_D704-AK1680_filtered_r1r2combined	Callosciurus_prevostii_2	Callosciurus~prevostii~2	Callosciurus-prevostii-2	captive	fruigivore 	no	flightless	flightless	Callosciurus_prevostii	CallosciurusPrevostii	Mammalia	Sciuridae	Callosciurus	Metazoa	Rodentia	Chordata
Callosciurus-prevostii_S_S_Temp_D704-AK1682_filtered_r1r2combined	Callosciurus_prevostii_3	Callosciurus~prevostii~3	Callosciurus-prevostii-3	captive	fruigivore 	no	flightless	flightless	Callosciurus_prevostii	CallosciurusPrevostii	Mammalia	Sciuridae	Callosciurus	Metazoa	Rodentia	Chordata
Song51_24754_host_filtered_r1r2combined	Callosciurus_prevostii_4	Callosciurus~prevostii~4	Callosciurus-prevostii-4	captive	fruigivore 	no	flightless	flightless	Callosciurus_prevosti	CallosciurusPrevosti	Mammalia	Sciuridae	Callosciurus	Metazoa	Rodentia	Chordata
Carollia-perspicillata_S_S_Temp_D709-AK1681_filtered_r1r2combined	Carollia_perspicillata_1	Carollia~perspicillata~1	Carollia-perspicillata-1	wild	fruigivore 	no	flighted	strong	Carollia_perspicillata	CarolliaPerspicillata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Chordata
Carollia-perspicillata_S_S_Temp_D709-AK1682_filtered_r1r2combined	Carollia_perspicillata_2	Carollia~perspicillata~2	Carollia-perspicillata-2	wild	fruigivore 	no	flighted	strong	Carollia_perspicillata	CarolliaPerspicillata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Chordata
Carollia-perspicillata_S_S_Temp_D712-AK1544_filtered_r1r2combined	Carollia_perspicillata_3	Carollia~perspicillata~3	Carollia-perspicillata-3	wild	fruigivore 	no	flighted	strong	Carollia_perspicillata	CarolliaPerspicillata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Chordata
Carollia-perspicillata_S_S_Temp_D712-AK1546_filtered_r1r2combined	Carollia_perspicillata_4	Carollia~perspicillata~4	Carollia-perspicillata-4	wild	fruigivore 	no	flighted	strong	Carollia_perspicillata	CarolliaPerspicillata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Chordata
Carollia-sowelli_S_S_Temp_D712-AK1545_filtered_r1r2combined	Carollia_sowelli	Carollia~sowelli	Carollia-sowelli	wild	fruigivore 	no	flighted	strong	Carollia_sowelli	CarolliaSowelli	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Chordata
Casuarius-casuarius_S_S_Temp_D703-AK1780_filtered_r1r2combined	Casuarius_casuarius_1	Casuarius~casuarius~1	Casuarius-casuarius-1	captive	fruigivore 	no	flightless	flightless	Casuarius_casuarius	CasuariusCasuarius	Aves	Casuariidae	Casuarius	Metazoa	Casuariiformes	Chordata
Casuarius-casuarius_S_S_Temp_D705-AK1545_filtered_r1r2combined	Casuarius_casuarius_2	Casuarius~casuarius~2	Casuarius-casuarius-2	captive	fruigivore 	no	flightless	flightless	Casuarius_casuarius	CasuariusCasuarius	Aves	Casuariidae	Casuarius	Metazoa	Casuariiformes	Chordata
Song53_24086_host_filtered_r1r2combined	Casuarius_casuarius_3	Casuarius~casuarius~3	Casuarius-casuarius-3	captive	fruigivore 	no	flightless	flightless	Casuarius_casuarius	CasuariusCasuarius	Aves	Casuariidae	Casuarius	Metazoa	Casuariiformes	Chordata
Song53_25069_host_filtered_r1r2combined	Casuarius_casuarius_4	Casuarius~casuarius~4	Casuarius-casuarius-4	captive	fruigivore 	no	flightless	flightless	Casuarius_casuarius	CasuariusCasuarius	Aves	Casuariidae	Casuarius	Metazoa	Casuariiformes	Chordata
Song53_24060_host_filtered_r1r2combined	Chrysolophus_pictus	Chrysolophus~pictus	Chrysolophus-pictus	captive	Omnivore	no	flighted	strong	Chrysolophus_pictus	ChrysolophusPictus	Aves	Phasianidae	Chrysolophus	Metazoa	Galliformes	Chordata
Song52_25150_host_filtered_r1r2combined	Cornufer_guentheri	Cornufer~guentheri	Cornufer-guentheri	captive	Carnivore	no	flightless	flightless	Cornufer_guentheri	CornuferGuentheri	Amphibia	Ceratobatrachidae	Cornufer	Metazoa	Anura	Chordata
Song52_25079_host_filtered_r1r2combined	Crocodylus_rhombifer	Crocodylus~rhombifer	Crocodylus-rhombifer	captive	Carnivore	no	flightless	flightless	Crocodylus_rhombifer	CrocodylusRhombifer	Crocodylomorpha	Crocodylidae	Crocodylus	Metazoa	Crocodylia	Chordata
Crocuta-crocuta_S_S_Temp_D704-AK1681_filtered_r1r2combined	Crocuta_crocuta	Crocuta~crocuta	Crocuta-crocuta	captive	Carnivore	no	flightless	flightless	Crocuta_crocuta	CrocutaCrocuta	Mammalia	Hyaenidae	Crocuta	Metazoa	Carnivora	Chordata
Cryptoprocta-ferox_S_S_Temp_D704-AK1546_filtered_r1r2combined	Cryptoprocta_ferox	Cryptoprocta~ferox	Cryptoprocta-ferox	captive	Carnivore	no	flightless	flightless	Cryptoprocta_ferox	CryptoproctaFerox	Mammalia	Eupleridae	Cryptoprocta	Metazoa	Carnivora	Chordata
Cynomys-ludovicianus_S_S_Temp_D705-AK1680_filtered_r1r2combined	Cynomys_ludovicianus	Cynomys~ludovicianus	Cynomys-ludovicianus	captive	Omnivore	no	flightless	flightless	Cynomys_ludovicianus	CynomysLudovicianus	Mammalia	Sciuridae	Cynomys	Metazoa	Rodentia	Chordata
Song53_24326_host_filtered_r1r2combined	Dendrocygna_viduata	Dendrocygna~viduata	Dendrocygna-viduata	captive	Herbivore	no	flighted	strong	Dendrocygna_viduata	DendrocygnaViduata	Aves	Anatidae	Dendrocygna	Metazoa	Anseriformes	Chordata
Desmodus-rotundus_S_S_Temp_D707-AK1544_filtered_r1r2combined	Desmodus_rotundus_1	Desmodus~rotundus~1	Desmodus-rotundus-1	wild	Carnivore	yes	flighted	strong	Desmodus_rotundus	DesmodusRotundus	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Chordata
Desmodus-rotundus_S_S_Temp_D707-AK1546_filtered_r1r2combined	Desmodus_rotundus_2	Desmodus~rotundus~2	Desmodus-rotundus-2	wild	Carnivore	yes	flighted	strong	Desmodus_rotundus	DesmodusRotundus	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Chordata
Desmodus-rotundus_S_S_Temp_D708-AK1543_filtered_r1r2combined	Desmodus_rotundus_3	Desmodus~rotundus~3	Desmodus-rotundus-3	wild	Carnivore	yes	flighted	strong	Desmodus_rotundus	DesmodusRotundus	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Chordata
