SampleID	host_common_name
Acryllium-vulturinum_Song53_24613_host_filtered_r1r2combined	Vulturine guineafowl
Aldabrachelys-gigantea_Song52_24069_host_filtered_r1r2combined	Aldabra giant tortoise
Alligator-mississippiensis_Song52_25047_host_filtered_r1r2combined	American alligator
Aonyx-cinerea_Song75_24535_host_filtered_r1r2combined	Asian small-clawed otter
Apteryx-mantelli_Song53_24657_host_filtered_r1r2combined	Brown kiwi
Ardeotis-kori_Song53_24073_host_filtered_r1r2combined	Kori bustard
Balaenoptera-borealis_Girguis50_SeiF18_host_filtered_r1r2combined	Sei Whale
Balaenoptera-physalus_Girguis50_FinBP1_host_filtered_r1r2combined	Fin Whale
Balaenoptera-physalus_Girguis50_FinBP2_host_filtered_r1r2combined	Fin Whale
Balaenoptera-physalus_Girguis50_FinBP3_host_filtered_r1r2combined	Fin Whale
Balaenoptera-physalus_Girguis50_FinBP4_host_filtered_r1r2combined	Fin Whale
Bos-taurus_Minich76_CM_host_filtered_r1r2combined	cattle
Callosciurus-prevosti_Song51_24754_host_filtered_r1r2combined	Prevost's squirrel
Casuarius-casuarius_Song53_24086_host_filtered_r1r2combined	Cassowary
Casuarius-casuarius_Song53_25069_host_filtered_r1r2combined	Cassowary
Ceratobatrachus-guentheri_Song52_25150_host_filtered_r1r2combined	Solomon Ssland leaf frog
Choloepus-hoffmanni_Song51_25173_host_filtered_r1r2combined	Hoffmann's two-toed sloth
Chrysolophus-pictus_Song53_24060_host_filtered_r1r2combined	Golden pheasant
Coturnix-coturnix_Minich76_QM_host_filtered_r1r2combined	common quail
Crocodylus-rhombifer_Song52_25079_host_filtered_r1r2combined	Cuban crocodile
Dendrocygna-viduata_Song53_24326_host_filtered_r1r2combined	White-faced whistling duck
Diceros-bicornis_Song51_24081_host_filtered_r1r2combined	Eastern black rhinoceros
Dromaius-novaehollandiae_Song53_24100_host_filtered_r1r2combined	Emu
Echinops-telfairi_Song51_24758_host_filtered_r1r2combined	Lesser hedgehog tenrec
Equus-burchellii_Song51_25122_host_filtered_r1r2combined	Zebra
Equus-ferus_Song51_24711_host_filtered_r1r2combined	Przewalski horse
Eubalaena-glacialis_Girguis50_RightEG3_host_filtered_r1r2combined	North Atlantic Right Whale
Eubalaena-glacialis_Girguis50_RightEG4_host_filtered_r1r2combined	North Atlantic Right Whale
Eubalaena-glacialis_Girguis50_RightEG5_host_filtered_r1r2combined	North Atlantic Right Whale
Eunectes-murinus_Song52_25041_host_filtered_r1r2combined	Green anaconda
Felis-margarita_Song51_24733_host_filtered_r1r2combined	Sand cat
Gallus-gallus_Minich76_BM_host_filtered_r1r2combined	chicken
Gallus-gallus_Minich76_LM_host_filtered_r1r2combined	chicken
Geochelone-radiata_Song52_24663_host_filtered_r1r2combined	Radiated tortoise
Giraffa-camelopardalis_Song51_24059_host_filtered_r1r2combined	Giraffe
Gorilla-gorilla_Song51_25120_host_filtered_r1r2combined	Western gorilla
Grus-americana_Song53_25014_host_filtered_r1r2combined	Whooping crane
Helogale-parvula_Song51_24713_host_filtered_r1r2combined	Dwarf mongoose
Hypogeomys-antinena_Song51_24675_host_filtered_r1r2combined	Malagasy giant rat
