SampleID	SampleID2	sample_name2	studyID	file_filtered_r1r2_combined	reads_per_unfiltered_file	reads_per_file	species_id	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild	
Artibeus_intermedius	Artibeus-intermedius_S_S_Temp_D709-AK1780_filtered_r1r2interleaved	2338.0623.7.I	2338	Artibeus-intermedius_S_S_Temp_D709-AK1780_filtered_r1r2combined.fastq.gz	10812150	10809968	great_fruit-eating_bat.1	Chordata	Mammalia	Phyllostomidae	Artibeus	Metazoa	Chiroptera	Artibeus_intermedius	Artibeus_jamaicensis	Artibeus_intermedius	great_fruit-eating_bat	flighted	NA	NA	CostaRica	NA	NA	frugivore	herbivore	wild	
Carollia_perspicillata	Carollia-perspicillata_S_S_Temp_D709-AK1682_filtered_r1r2interleaved	2338.0620.8.I	2338	Carollia-perspicillata_S_S_Temp_D709-AK1682_filtered_r1r2combined.fastq.gz	28375062	28354050	sebas_short-tailed_bat.1	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia_perspicillata	Carollia_perspicillata	Carollia_perspicillata	Sebas_short-tailed_bat	flighted	NA	NA	CostaRica	NA	NA	frugivore	herbivore	wild	
Carollia_perspicillata	Carollia-perspicillata_S_S_Temp_D712-AK1544_filtered_r1r2interleaved	2338.0623.9.I	2338	Carollia-perspicillata_S_S_Temp_D712-AK1544_filtered_r1r2combined.fastq.gz	122751186	122713288	sebas_short-tailed_bat.2	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia_perspicillata	Carollia_perspicillata	Carollia_perspicillata	Sebas_short-tailed_bat	flighted	NA	NA	CostaRica	NA	NA	frugivore	herbivore	wild	
Carollia_perspicillata	Carollia-perspicillata_S_S_Temp_D712-AK1546_filtered_r1r2interleaved	2338.0627.22.I2	2338	Carollia-perspicillata_S_S_Temp_D712-AK1546_filtered_r1r2combined.fastq.gz	8559788	8556874	sebas_short-tailed_bat.3	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia_perspicillata	Carollia_perspicillata	Carollia_perspicillata	Sebas_short-tailed_bat	flighted	NA	NA	CostaRica	NA	NA	frugivore	herbivore	wild	
Carollia_perspicillata	Carollia-perspicillata_S_S_Temp_D709-AK1681_filtered_r1r2interleaved	2338.0701.17.I	2338	Carollia-perspicillata_S_S_Temp_D709-AK1681_filtered_r1r2combined.fastq.gz	488426	487862	sebas_short-tailed_bat.4	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia_perspicillata	Carollia_perspicillata	Carollia_perspicillata	Sebas_short-tailed_bat	flighted	NA	NA	CostaRica	NA	NA	frugivore	herbivore	wild	
Carollia_sowelli	Carollia-sowelli_S_S_Temp_D712-AK1545_filtered_r1r2interleaved	2338.0624.6.I	2338	Carollia-sowelli_S_S_Temp_D712-AK1545_filtered_r1r2combined.fastq.gz	51599976	51540112	sowells_short-tailed_bat.1	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia_sowelli	Carollia_perspicillata	Carollia_sowelli	Sowells_short-tailed_bat	flighted	NA	NA	CostaRica	NA	NA	frugivore	herbivore	wild	
Lampetra_appendix	Lampetra-appendix_S_S_Temp_D703-AK1680_filtered_r1r2interleaved	11166.lamprey.24146.lamprey	11166	Lampetra-appendix_S_S_Temp_D703-AK1680_filtered_r1r2combined.fastq.gz	79429692	32380108	american_brook_lamprey.1	Chordata	Hyperoartia	Petromyzontidae	Lampetra	Metazoa	Petromyzontiformes	Lampetra_appendix	Petromyzon_marinus	Lampetra_appendix	American_brook_lamprey	flightless	NA	NA	USA	NA	NA	filter_feeder	carnivore	wild	
Lampetra_appendix	Lampetra-appendix_S_S_Temp_D702-AK1780_filtered_r1r2interleaved	11166.lamprey.24147.lamprey	11166	Lampetra-appendix_S_S_Temp_D702-AK1780_filtered_r1r2combined.fastq.gz	102385344	44405594	american_brook_lamprey.2	Chordata	Hyperoartia	Petromyzontidae	Lampetra	Metazoa	Petromyzontiformes	Lampetra_appendix	Petromyzon_marinus	Lampetra_appendix	American_brook_lamprey	flightless	NA	NA	USA	NA	NA	filter_feeder	carnivore	wild	
Lampetra_appendix	Lampetra-appendix_S_S_Temp_D702-AK1544_filtered_r1r2interleaved	11166.lamprey.24154.lamprey	11166	Lampetra-appendix_S_S_Temp_D702-AK1544_filtered_r1r2combined.fastq.gz	58065678	25803516	american_brook_lamprey.3	Chordata	Hyperoartia	Petromyzontidae	Lampetra	Metazoa	Petromyzontiformes	Lampetra_appendix	Petromyzon_marinus	Lampetra_appendix	American_brook_lamprey	flightless	NA	NA	USA	NA	NA	filter_feeder	carnivore	wild	
Haliaeetus_leucocephalus	Haliaeetus-leucocephalus_S_S_Temp_D707-AK1543_filtered_r1r2interleaved	11166.ATL.24483.eagle	11166	Haliaeetus-leucocephalus_S_S_Temp_D707-AK1543_filtered_r1r2combined.fastq.gz	20895600	20223650	bald_eagle.1	Chordata	Aves	Accipitridae	Haliaeetus	Metazoa	Falconiformes	Haliaeetus_leucocephalus	Haliaeetus_leucocephalus	Haliaeetus_leucocephalus	Bald_eagle	flighted	NA	NA	USA	NA	NA	scavenger	carnivore	captive	
Mungos_mungo	Mungos-mungo_S_S_Temp_D704-AK1780_filtered_r1r2interleaved	11166.NATL.24682.mongoose	11166	Mungos-mungo_S_S_Temp_D704-AK1780_filtered_r1r2combined.fastq.gz	8895624	8892976	banded_mongoose.2	Chordata	Mammalia	Herpestidae	Mungos	Metazoa	Carnivora	Mungos_mungo	Mungos_mungo	Mungos_mungo	banded_mongoose	flightless	NA	NA	USA	NA	NA	herbivore	herbivore	captive	
Speculanas_specularis	Speculanas-specularis_S_S_Temp_D709-AK1546_filtered_r1r2interleaved	11166.ZU.18260.bronzewingedduck	11166	Speculanas-specularis_S_S_Temp_D709-AK1546_filtered_r1r2combined.fastq.gz	4312146	4291506	bronzewinged_duck.1	Chordata	Aves	Anatidae	Speculanas	Metazoa	Anseriformes	Speculanas_specularis	Heteronetta_atricapilla	Speculanas_specularis	Bronzewinged_duck	flighted	NA	NA	Switzerland	NA	NA	omnivore	omnivore	captive	
Parahyaena_brunnea	Hyaena-brunnea_S_S_Temp_D701-AK1682_filtered_r1r2interleaved	11166.FD.0126.hyena	11166	Hyaena-brunnea_S_S_Temp_D701-AK1682_filtered_r1r2combined.fastq.gz	148146384	148074190	brown_hyena.1	Chordata	Mammalia	Hyaenidae	Parahyaena	Metazoa	Carnivora	Hyaena_brunnea	Crocuta_crocuta	Parahyaena_brunnea	Brown_hyena	flightless	NA	NA	France	NA	NA	scavenger	carnivore	captive	
Apteryx_australis	Apteryx-mantelli_S_S_Temp_D706-AK1546_filtered_r1r2interleaved	11166.NATL.24369.kiwi	11166	Apteryx-mantelli_S_S_Temp_D706-AK1546_filtered_r1r2combined.fastq.gz	16212782	16187182	brown_kiwi.2	Chordata	Aves	Apterygidae	Apteryx	Metazoa	Apterygiformes	Apteryx_australis	Apteryx_mantelli	Apteryx_australis	brown_kiwi	flightless	NA	NA	USA	NA	NA	carnivore	carnivore	captive	
Apteryx_australis	Apteryx-mantelli_S_S_Temp_D706-AK1681_filtered_r1r2interleaved	11166.NATL.24677.kiwi	11166	Apteryx-mantelli_S_S_Temp_D706-AK1681_filtered_r1r2combined.fastq.gz	24159332	24065226	brown_kiwi.3	Chordata	Aves	Apterygidae	Apteryx	Metazoa	Apterygiformes	Apteryx_australis	Apteryx_mantelli	Apteryx_australis	brown_kiwi	flightless	NA	NA	USA	NA	NA	carnivore	carnivore	captive	
Casuarius_casuarius	Casuarius-casuarius_S_S_Temp_D703-AK1780_filtered_r1r2interleaved	11166.ATL.24090.a.cassowary	11166	Casuarius-casuarius_S_S_Temp_D703-AK1780_filtered_r1r2combined.fastq.gz	78781584	78778530	cassowary.3	Chordata	Aves	Casuariidae	Casuarius	Metazoa	Casuariiformes	Casuarius_casuarius	Casuarius_casuarius	Casuarius_casuarius	Cassowary	flightless	NA	NA	USA	NA	NA	frugivore	herbivore	captive	
Casuarius_casuarius	Casuarius-casuarius_S_S_Temp_D705-AK1545_filtered_r1r2interleaved	11166.NATL.24096.cassowary	11166	Casuarius-casuarius_S_S_Temp_D705-AK1545_filtered_r1r2combined.fastq.gz	48652110	47781626	cassowary.4	Chordata	Aves	Casuariidae	Casuarius	Metazoa	Casuariiformes	Casuarius_casuarius	Casuarius_casuarius	Casuarius_casuarius	cassowary	flightless	NA	NA	USA	NA	NA	frugivore	herbivore	captive	
Desmodus_rotundus	Desmodus-rotundus_S_S_Temp_D707-AK1546_filtered_r1r2interleaved	11166.vbat.DR07.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D707-AK1546_filtered_r1r2combined.fastq.gz	18641194	527736	common_rudd.2	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus_rotundus	Desmodus_rotundus	Desmodus_rotundus	common_vampire_bat	flighted	NA	NA	Mexico	NA	NA	sanguivore	carnivore	wild	
Desmodus_rotundus	Desmodus-rotundus_S_S_Temp_D708-AK1543_filtered_r1r2interleaved	11166.vbat.DR11.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D708-AK1543_filtered_r1r2combined.fastq.gz	42269878	922368	common_teal.1	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus_rotundus	Desmodus_rotundus	Desmodus_rotundus	common_vampire_bat	flighted	NA	NA	Mexico	NA	NA	sanguivore	carnivore	wild	
Desmodus_rotundus	Desmodus-rotundus_S_S_Temp_D708-AK1544_filtered_r1r2interleaved	11166.vbat.DR12.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D708-AK1544_filtered_r1r2combined.fastq.gz	34428166	1573366	common_toad.1	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus_rotundus	Desmodus_rotundus	Desmodus_rotundus	common_vampire_bat	flighted	NA	NA	Mexico	NA	NA	sanguivore	carnivore	wild	
Desmodus_rotundus	Desmodus-rotundus_S_S_Temp_D707-AK1544_filtered_r1r2interleaved	11166.vbat.DR14.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D707-AK1544_filtered_r1r2combined.fastq.gz	13903090	394212	common_toad.2	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus_rotundus	Desmodus_rotundus	Desmodus_rotundus	common_vampire_bat	flighted	NA	NA	Mexico	NA	NA	sanguivore	carnivore	wild	
Desmodus_rotundus	Desmodus-rotundus_S_S_Temp_D708-AK1680_filtered_r1r2interleaved	11166.vbat.DR15.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D708-AK1680_filtered_r1r2combined.fastq.gz	31906410	753786	common_vampire_bat.1	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus_rotundus	Desmodus_rotundus	Desmodus_rotundus	common_vampire_bat	flighted	NA	NA	Mexico	NA	NA	sanguivore	carnivore	wild	
Desmodus_rotundus	Desmodus-rotundus_S_S_Temp_D708-AK1682_filtered_r1r2interleaved	11166.vbat.DR16.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D708-AK1682_filtered_r1r2combined.fastq.gz	8907528	230578	common_vampire_bat.2	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus_rotundus	Desmodus_rotundus	Desmodus_rotundus	common_vampire_bat	flighted	NA	NA	Mexico	NA	NA	sanguivore	carnivore	wild	
Desmodus_rotundus	Desmodus-rotundus_S_S_Temp_D709-AK1680_filtered_r1r2interleaved	11166.vbat.DR21.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D709-AK1680_filtered_r1r2combined.fastq.gz	15242976	356808	common_vampire_bat.3	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus_rotundus	Desmodus_rotundus	Desmodus_rotundus	common_vampire_bat	flighted	NA	NA	Mexico	NA	NA	sanguivore	carnivore	wild	
Desmodus_rotundus	Desmodus-rotundus_S_S_Temp_D708-AK1780_filtered_r1r2interleaved	11166.vbat.DR26.colon.vbat	11166	Desmodus-rotundus_S_S_Temp_D708-AK1780_filtered_r1r2combined.fastq.gz	16975130	261142	common_vampire_bat.4	Chordata	Mammalia	Phyllostomidae	Desmodus	Metazoa	Chiroptera	Desmodus_rotundus	Desmodus_rotundus	Desmodus_rotundus	common_vampire_bat	flighted	NA	NA	Mexico	NA	NA	sanguivore	carnivore	wild	
Pterocnemia_pennata	Rhea-pennata_S_S_Temp_D709-AK1543_filtered_r1r2interleaved	11166.ZU.18256.rhea	11166	Rhea-pennata_S_S_Temp_D709-AK1543_filtered_r1r2combined.fastq.gz	9620260	9618324	darwins_rhea.1	Chordata	Aves	Rheidae	Pterocnemia	Metazoa	Rheiformes	Rhea_pennata	Rhea_pennata	Pterocnemia_pennata	Darwins_rhea	flightless	NA	NA	Switzerland	NA	NA	herbivore	herbivore	captive	
Helogale_parvula	Helogale-parvula_S_S_Temp_D704-AK1544_filtered_r1r2interleaved	11166.NATL.25075.mongoose	11166	Helogale-parvula_S_S_Temp_D704-AK1544_filtered_r1r2combined.fastq.gz	83622188	83617234	dwarf_mongoose.2	Chordata	Mammalia	Herpestidae	Helogale	Metazoa	Carnivora	Helogale_parvula	Helogale_parvula	Helogale_parvula	dwarf_mongoose	flightless	NA	NA	USA	NA	NA	insectivore	carnivore	captive	
Eudromia_elegans	Eudromia-elegans_S_S_Temp_D710-AK1682_filtered_r1r2interleaved	11166.FD.0441.tinamou	11166	Eudromia-elegans_S_S_Temp_D710-AK1682_filtered_r1r2combined.fastq.gz	32487128	32448674	elegant_crested_tinamou.1	Chordata	Aves	Tinamidae	Eudromia	Metazoa	Tinamiformes	Eudromia_elegans	Eudromia_elegans	Eudromia_elegans	elegant_crested_tinamou	flighted	NA	NA	France	NA	NA	omnivore	omnivore	captive	
Eudromia_elegans	Eudromia-elegans_S_S_Temp_D706-AK1680_filtered_r1r2interleaved	11166.NATL.24094.tinamou	11166	Eudromia-elegans_S_S_Temp_D706-AK1680_filtered_r1r2combined.fastq.gz	40795214	40582464	elegant_crested_tinamou.2	Chordata	Aves	Tinamidae	Eudromia	Metazoa	Tinamiformes	Eudromia_elegans	Eudromia_elegans	Eudromia_elegans	elegant_crested_tinamou	flighted	NA	NA	USA	NA	NA	omnivore	omnivore	captive	
Dromaius_novaehollandiae	Dromaius-novaehollandiae_S_S_Temp_D705-AK1544_filtered_r1r2interleaved	11166.NATL.25068.emu	11166	Dromaius-novaehollandiae_S_S_Temp_D705-AK1544_filtered_r1r2combined.fastq.gz	14509756	14503296	emu.2	Chordata	Aves	Dromaiidae	Dromaius	Metazoa	Casuariiformes	Dromaius_novaehollandiae	Dromaius_novaehollandiae	Dromaius_novaehollandiae	emu	flightless	NA	NA	USA	NA	NA	carnivore	carnivore	captive	
Cryptoprocta_ferox	Cryptoprocta-ferox_S_S_Temp_D704-AK1546_filtered_r1r2interleaved	11166.ATL.25136.fossa	11166	Cryptoprocta-ferox_S_S_Temp_D704-AK1546_filtered_r1r2combined.fastq.gz	64530078	64527584	fossa.1	Chordata	Mammalia	Eupleridae	Cryptoprocta	Metazoa	Carnivora	Cryptoprocta_ferox	Cryptoprocta_ferox	Cryptoprocta_ferox	Fossa	flightless	NA	NA	USA	NA	NA	carnivore	carnivore	captive	
Tachyeres_pteneres	Tachyeres-pteneres_S_S_Temp_D710-AK1681_filtered_r1r2interleaved	11166.ZU.18247.fuegiansteamerduck	11166	Tachyeres-pteneres_S_S_Temp_D710-AK1681_filtered_r1r2combined.fastq.gz	17042070	16950020	fuegian_steamer_duck.1	Chordata	Aves	Anatidae	Tachyeres	Metazoa	Anseriformes	Tachyeres_pteneres	Branta_canadensis	Tachyeres_pteneres	Fuegian_steamer_duck	flightless	NA	NA	Switzerland	NA	NA	insectivore	carnivore	captive	
Geospiza_acutirostris	Geospiza-acutirostris_S_S_Temp_D712-AK1780_filtered_r1r2interleaved	11166.UM.24892.finch	11166	Geospiza-acutirostris_S_S_Temp_D712-AK1780_filtered_r1r2combined.fastq.gz	1682712	1638662	genovesa_ground_finch.1	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza_acutirostris	Geospiza_fortis		Genovesa_ground_finch	flighted	NA	NA	Ecuador	NA	NA	insectivore_granivore	omnivore	wild	
Geospiza_acutirostris	Geospiza-acutirostris_S_S_Temp_D712-AK1680_filtered_r1r2interleaved	11166.UM.24976.finch	11166	Geospiza-acutirostris_S_S_Temp_D712-AK1680_filtered_r1r2combined.fastq.gz	2673222	564560	genovesa_ground_finch.2	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza_acutirostris	Geospiza_fortis		Genovesa_ground_finch	flighted	NA	NA	Ecuador	NA	NA	insectivore_granivore	omnivore	wild	
Balantiopteryx_plicata	Balantiopteryx-plicata_S_S_Temp_D708-AK1545_filtered_r1r2interleaved	11166.vbat.K3.colon.bat	11166	Balantiopteryx-plicata_S_S_Temp_D708-AK1545_filtered_r1r2combined.fastq.gz	16927274	15913350	gray_sacwinged_bat.1	Chordata	Mammalia	Emballonuridae	Balantiopteryx	Metazoa	Chiroptera	Balantiopteryx_plicata	Desmodus_rotundus	Balantiopteryx_plicata	gray_sacwinged_bat	flighted	NA	NA	Mexico	NA	NA	insectivore	carnivore	wild	
Rhea_americana	Rhea-americana_S_S_Temp_D709-AK1545_filtered_r1r2interleaved	11166.FD.0461.rhea	11166	Rhea-americana_S_S_Temp_D709-AK1545_filtered_r1r2combined.fastq.gz	16200112	16199618	greater_rhea.1	Chordata	Aves	Rheidae	Rhea	Metazoa	Rheiformes	Rhea_americana	Rhea_americana	Rhea_americana	Greater_rhea	flightless	NA	NA	France	NA	NA	omnivore	omnivore	captive	
Parabuteo_unicinctus	Parabuteo-unicinctus_S_S_Temp_D711-AK1543_filtered_r1r2interleaved	11166.ATL.24553.hawk	11166	Parabuteo-unicinctus_S_S_Temp_D711-AK1543_filtered_r1r2combined.fastq.gz	1911848	987520	harris_hawk.1	Chordata	Aves	Accipitridae	Parabuteo	Metazoa	Falconiformes	Parabuteo_unicinctus	Haliaeetus_leucocephalus	Parabuteo_unicinctus	Harris_hawk	flighted	NA	NA	USA	NA	NA	carnivore	carnivore	captive	
Necrosyrtes_monachus	Necrosyrtes-monachus_S_S_Temp_D707-AK1682_filtered_r1r2interleaved	11166.ATL.24487.vulture	11166	Necrosyrtes-monachus_S_S_Temp_D707-AK1682_filtered_r1r2combined.fastq.gz	16263176	14928822	hooded_vulture.1	Chordata	Aves	Accipitridae	Necrosyrtes	Metazoa	Falconiformes	Necrosyrtes_monachus	Haliaeetus_leucocephalus	Necrosyrtes_monachus	Hooded_vulture	flighted	NA	NA	USA	NA	NA	scavenger	carnivore	captive	
Necrosyrtes_monachus	Necrosyrtes-monachus_S_S_Temp_D707-AK1780_filtered_r1r2interleaved	11166.ATL.24524.vulture	11166	Necrosyrtes-monachus_S_S_Temp_D707-AK1780_filtered_r1r2combined.fastq.gz	53373296	37326654	hooded_vulture.2	Chordata	Aves	Accipitridae	Necrosyrtes	Metazoa	Falconiformes	Necrosyrtes_monachus	Haliaeetus_leucocephalus	Necrosyrtes_monachus	Hooded_vulture	flighted	NA	NA	USA	NA	NA	scavenger	carnivore	captive	
Aptenodytes_patagonicus	Aptenodytes-patagonicus_S_S_Temp_D711-AK1545_filtered_r1r2interleaved	11166.ZU.18201.kingpenguin	11166	Aptenodytes-patagonicus_S_S_Temp_D711-AK1545_filtered_r1r2combined.fastq.gz	785288	327038	king_penguin.1	Chordata	Aves	Spheniscidae	Aptenodytes	Metazoa	Sphenisciformes	Aptenodytes_patagonicus	Aptenodytes_patagonicus	Aptenodytes_patagonicus	King_penguin	flightless	NA	NA	Switzerland	NA	NA	carnivore	carnivore	captive	
Aptenodytes_patagonicus	Aptenodytes-patagonicus_S_S_Temp_D710-AK1680_filtered_r1r2interleaved	11166.ZU.18220.kingpenguin	11166	Aptenodytes-patagonicus_S_S_Temp_D710-AK1680_filtered_r1r2combined.fastq.gz	522414	512102	king_penguin.2	Chordata	Aves	Spheniscidae	Aptenodytes	Metazoa	Sphenisciformes	Aptenodytes_patagonicus	Aptenodytes_patagonicus	Aptenodytes_patagonicus	King_penguin	flightless	NA	NA	Switzerland	NA	NA	carnivore	carnivore	captive	
Sarcoramphus_papa	Sarcoramphus-papa_S_S_Temp_D705-AK1682_filtered_r1r2interleaved	11166.NATL.24241.vulture	11166	Sarcoramphus-papa_S_S_Temp_D705-AK1682_filtered_r1r2combined.fastq.gz	108846910	108823702	king_vulture.2	Chordata	Aves	Cathartidae	Sarcoramphus	Metazoa	Ciconiiformes	Sarcoramphus_papa	Cathartes_aura	Sarcoramphus_papa	king_vulture	flighted	NA	NA	USA	NA	NA	scavenger	carnivore	captive	
Sarcoramphus_papa	Sarcoramphus-papa_S_S_Temp_D705-AK1780_filtered_r1r2interleaved	11166.NATL.24684.vulture	11166	Sarcoramphus-papa_S_S_Temp_D705-AK1780_filtered_r1r2combined.fastq.gz	38351354	38085292	king_vulture.3	Chordata	Aves	Cathartidae	Sarcoramphus	Metazoa	Ciconiiformes	Sarcoramphus_papa	Cathartes_aura	Sarcoramphus_papa	king_vulture	flighted	NA	NA	USA	NA	NA	scavenger	carnivore	captive	
Apteryx_australis	Apteryx-mantelli_S_S_Temp_D705-AK1546_filtered_r1r2interleaved	11166.NATL.25048.kiwi	11166	Apteryx-mantelli_S_S_Temp_D705-AK1546_filtered_r1r2combined.fastq.gz	46708894	46662966	kiwi.1	Chordata	Aves	Apterygidae	Apteryx	Metazoa	Apterygiformes	Apteryx_australis	Apteryx_mantelli	Apteryx_australis	kiwi	flightless	NA	NA	USA	NA	NA	carnivore	carnivore	captive	
Apteryx_australis	Apteryx-mantelli_S_S_Temp_D706-AK1682_filtered_r1r2interleaved	11166.NATL.25056.kiwi	11166	Apteryx-mantelli_S_S_Temp_D706-AK1682_filtered_r1r2combined.fastq.gz	62106644	61910738	kiwi.2	Chordata	Aves	Apterygidae	Apteryx	Metazoa	Apterygiformes	Apteryx_australis	Apteryx_mantelli	Apteryx_australis	kiwi	flightless	NA	NA	USA	NA	NA	carnivore	carnivore	captive	
