SampleID	reads_per_file	studyID	captive_wild	diet_category_3	country	host_phylum	host_class	host_order	host_family	host_genus	host_species
Artibeus_intermedius	10809968.0	2338	wild	herbivore	CostaRica	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus_intermedius
Carollia_perspicillata	40028018.5	2338	wild	herbivore	CostaRica	Chordata	Mammalia	Chiroptera	Phyllostomidae	Carollia	Carollia_perspicillata
Carollia_sowelli	51540112.0	2338	wild	herbivore	CostaRica	Chordata	Mammalia	Chiroptera	Phyllostomidae	Carollia	Carollia_sowelli
Lampetra_appendix	34196406.0	11166	wild	carnivore	USA	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Lampetra	Lampetra_appendix
Haliaeetus_leucocephalus	20223650.0	11166	captive	carnivore	USA	Chordata	Aves	Falconiformes	Accipitridae	Haliaeetus	Haliaeetus_leucocephalus
Mungos_mungo	15805625.0	11166_13114	captive	herbivore	USA	Chordata	Mammalia	Carnivora	Herpestidae	Mungos	Mungos_mungo
Speculanas_specularis	4291506.0	11166	captive	omnivore	Switzerland	Chordata	Aves	Anseriformes	Anatidae	Speculanas	Speculanas_specularis
Parahyaena_brunnea	148074190.0	11166	captive	carnivore	France	Chordata	Mammalia	Carnivora	Hyaenidae	Parahyaena	Hyaena_brunnea
Apteryx_australis	31775374.0	11166_13114	captive	carnivore	USA	Chordata	Aves	Apterygiformes	Apterygidae	Apteryx	Apteryx_australisApteryx_mantelli
Casuarius_casuarius	52791634.0	11166_13114	captive	herbivore	USA	Chordata	Aves	Casuariiformes	Casuariidae	Casuarius	Casuarius_casuarius
Desmodus_rotundus	627499.5	11166	wild	carnivore	Mexico	Chordata	Mammalia	Chiroptera	Phyllostomidae	Desmodus	Desmodus_rotundus
Pterocnemia_pennata	9618324.0	11166	captive	herbivore	Switzerland	Chordata	Aves	Rheiformes	Rheidae	Pterocnemia	Rhea_pennata
Helogale_parvula	51204857.0	11166_13114	captive	carnivore	USA	Chordata	Mammalia	Carnivora	Herpestidae	Helogale	Helogale_parvula
Eudromia_elegans	41595231.333333336	11166	captive	omnivore	France_USA	Chordata	Aves	Tinamiformes	Tinamidae	Eudromia	Eudromia_elegans
Dromaius_novaehollandiae	7848350.5	11166_13114_13881	captive	carnivore	Austria_USA	Chordata	Aves	Casuariiformes	DromaiidaeCasuariidae	Dromaius	Dromaius_novaehollandiae
Cryptoprocta_ferox	64527584.0	11166	captive	carnivore	USA	Chordata	Mammalia	Carnivora	Eupleridae	Cryptoprocta	Cryptoprocta_ferox
Tachyeres_pteneres	16950020.0	11166	captive	carnivore	Switzerland	Chordata	Aves	Anseriformes	Anatidae	Tachyeres	Tachyeres_pteneres
Geospiza_acutirostris	1101611.0	11166	wild	omnivore	Ecuador	Chordata	Aves	Passeriformes	Thraupidae	Geospiza	Geospiza_acutirostris
Balantiopteryx_plicata	15913350.0	11166	wild	carnivore	Mexico	Chordata	Mammalia	Chiroptera	Emballonuridae	Balantiopteryx	Balantiopteryx_plicata
Rhea_americana	24555852.0	11166_13114	captive	omnivore	France_USA	Chordata	Aves	Rheiformes	Rheidae	Rhea	Rhea_americana
Parabuteo_unicinctus	987520.0	11166	captive	carnivore	USA	Chordata	Aves	Falconiformes	Accipitridae	Parabuteo	Parabuteo_unicinctus
Necrosyrtes_monachus	26127738.0	11166	captive	carnivore	USA	Chordata	Aves	Falconiformes	Accipitridae	Necrosyrtes	Necrosyrtes_monachus
Aptenodytes_patagonicus	419570.0	11166	captive	carnivore	Switzerland	Chordata	Aves	Sphenisciformes	Spheniscidae	Aptenodytes	Aptenodytes_patagonicus
Sarcoramphus_papa	55007831.333333336	11166_13114	captive	carnivore	USA	Chordata	Aves	CiconiiformesAccipitriformes	Cathartidae	Sarcoramphus	Sarcoramphus_papa
Falco_biarmicus	67185548.0	11166	captive	carnivore	USA	Chordata	Aves	Falconiformes	Falconidae	Falco	Falco_biarmicus
Torgos_tracheliotos	31948187.0	11166_13114	captive	carnivore	USA	Chordata	Aves	FalconiformesAccipitriformes	Accipitridae	Torgos	Torgos_tracheliotosTorgos_tracheliotus
Suricata_suricatta	48228096.0	11166	captive	carnivore	France_USA	Chordata	Mammalia	Carnivora	Herpestidae	Suricata	_Suricata_suricatta
Ichthyomyzon_fossor	13117519.0	11166	wild	carnivore	USA	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Ichthyomyzon	Ichthyomyzon_fossor
Struthio_camelus	38365773.0	11166_13114	captive	herbivore	France_USA	Chordata	Aves	Struthioniformes	Struthionidae	Struthio	Struthio_camelus
Cynomys_ludovicianus	22971688.0	11166	captive	herbivore	USA	Chordata	Mammalia	Rodentia	Sciuridae	Cynomys	Cynomys_ludovicianus
Callosciurus_prevostii	46063106.5	11166_13114	captive	herbivore	France_USA	Chordata	Mammalia	Rodentia	Sciuridae	Callosciurus	Callosciurus_prevostii
Buteo_jamaicensis	12991548.0	11166	captive	carnivore	USA	Chordata	Aves	Falconiformes	Accipitridae	Buteo	Buteo_jamaicensis
Petromyzon_marinus	4661182.6	11166	wild	carnivore	USA	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon	Petromyzon_marinus
Geospiza_difficilis	10716807.166666666	11166	wild	carnivore	Ecuador	Chordata	Aves	Passeriformes	Thraupidae	Geospiza	Geospiza_difficilis
Pteromys_volans	43475591.2	11166	wild	herbivore	Finland	Chordata	Mammalia	Rodentia	Sciuridae	Pteromys	Pteromys_volans
Crocuta_crocuta	5249378.0	11166	captive	carnivore	France	Chordata	Mammalia	Carnivora	Hyaenidae	Crocuta	Crocuta_crocuta
Hyaena_hyaena	2716772.0	11166	captive	carnivore	France	Chordata	Mammalia	Carnivora	Hyaenidae	Hyaena	Hyaena_hyaena
Glossophaga_morenoi	2269874.0	11166	wild	omnivore	Mexico	Chordata	Mammalia	Chiroptera	Phyllostomidae	Glossophaga	Glossophaga_morenoi
Alouatta_caraya	16631164.0	11212	wild	herbivore	Argentina	Chordata	Mammalia	Primates	Atelidae	Alouatta	Alouatta_caraya
Cercopithecus_ascanius	17716979.0	11212	wild	omnivore	Uganda	Chordata	Mammalia	Primates	Cercopithecidae	Cercopithecus	Cercopithecus_ascanius
Ateles_hybridus	18678826.0	11212	wild	herbivore	Colombia	Chordata	Mammalia	Primates	Atelidae	Ateles	Ateles_hybridus
Lagothrix_lagotricha	14828236.4	11212	wild	omnivore	Ecuador	Chordata	Mammalia	Primates	Atelidae	Lagothrix	Lagothrix_lagotricha
Pan_troglodytes	17308520.4	11212	wild	omnivore	Uganda	Chordata	Mammalia	Primates	Hominidae	Pan	Pan_troglodytes
Theropithecus_gelada	16976658.8	11212	wild	herbivore	Ethiopia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus	Theropithecus_gelada
Papio_hamadryas	15127612.8	11212	wild	omnivore	Ethiopia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	Papio_hamadryas
Alouatta_pigra	16171428.25	11212	wild	herbivore	Mexico	Chordata	Mammalia	Primates	Atelidae	Alouatta	Alouatta_pigra
Alouatta_seniculus	14270134.666666666	11212	wild	herbivore	Colombia_Ecuador	Chordata	Mammalia	Primates	Atelidae	Alouatta	Alouatta_seniculus
Colobus_guereza	13768638.8	11212	wild	herbivore	Uganda	Chordata	Mammalia	Primates	Cercopithecidae	Colobus	Colobus_guereza
Alouatta_palliata	13495402.0	11212	wild	herbivore	Nicaragua	Chordata	Mammalia	Primates	Atelidae	Alouatta	Alouatta_palliata
Papio_anubis	10055168.8	11212	wild	omnivore	Ethiopia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	Papio_anubis
Eulemur_rubriventer	8632342.0	11212	wild	herbivore	Madagascar	Chordata	Mammalia	Primates	Lemuridae	Eulemur	Eulemur_rubriventer
Lemur_catta	16844992.333333332	11212_13114	captive_wild	omnivore	Madagascar_USA	Chordata	Mammalia	Primates	Lemuridae	Lemur	Lemur_catta
Gorilla_gorilla	11411296.0	11212_13114_13881	captive_wild	herbivore	CAR_RepublicoftheCongo_USA	Chordata	Mammalia	Primates	Hominidae	Gorilla	Gorilla_gorillaGorilla_gorilla_gorilla
Piliocolobus_badius	18619934.0	11212	wild	herbivore	Uganda	Chordata	Mammalia	Primates	Cercopithecidae	Piliocolobus	Piliocolobus_badius
Propithecus_verreauxi	11254715.2	11212	wild	herbivore	Madagascar	Chordata	Mammalia	Primates	Indriidae	Propithecus	Propithecus_verreauxi
Ateles_belzebuth	14605430.0	11212	wild	herbivore	Ecuador	Chordata	Mammalia	Primates	Atelidae	Ateles	Ateles_belzebuth
Balaenoptera_physalus	16407166.5	13114	wild	carnivore	USA	Chordata	Mammalia	Artiodactyla	Balaenopteridae	Balaenoptera	Balaenoptera_physalus
Megaptera_novaeangliae	13618147.0	13114	wild	carnivore	USA	Chordata	Mammalia	Artiodactyla	Balaenopteridae	Megaptera	Megaptera_novaeangliae
Eubalaena_glacialis	13989676.0	13114	wild	carnivore	Canada	Chordata	Mammalia	Artiodactyla	Balaenidae	Eubalaena	Eubalaena_glacialis
Balaenoptera_borealis	10371661.0	13114_13881	wild	carnivore	Canada_UnitedKingdom	Chordata	Mammalia	Artiodactyla	Balaenopteridae	Balaenoptera	Balaenoptera_borealis
Gallus_gallus	12225874.666666666	13114_13881	captive_wild	carnivore	Austria_Malawi	Chordata	Aves	Galliformes	Phasianidae	Gallus	Gallus_gallus
Bos_taurus	22989339.333333332	13114_13881	captive_wild	herbivore	Austria_Malawi_Tanzania	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos_taurus
Numida_meleagris	25465244.0	13114	captive	herbivore	Malawi	Chordata	Aves	Galliformes	Numididae	Numida	Numida_meleagris
Sus_scrofa	8637848.4	13114_13881	captive_wild	omnivore	Austria_Malawi	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus_scrofaSus_scrofa_domesticus
Coturnix_coturnix	15480404.0	13114	captive	omnivore	Malawi	Chordata	Aves	Galliformes	Phasianidae	Coturnix	Coturnix_coturnix
Myodes_glareolus	9636414.27027027	13114_13881	wild	herbivore	Austria_Ukraine	Chordata	Mammalia	Rodentia	Cricetidae	Myodes	Myodes_glareolus
Giraffa_camelopardalis	12768777.6	13114_13881	captive_wild	herbivore	Austria_Kenya_USA	Chordata	Mammalia	Artiodactyla	Giraffidae	Giraffa	Giraffa_camelopardalis_reticulataGiraffa_camelopardalis
Nyctereutes_procyonoides	8140486.666666667	13114_13881	captive_wild	omnivore	Austria_USA	Chordata	Mammalia	Carnivora	Canidae	Nyctereutes	Nyctereutes_procyonoides
Diceros_bicornis	22565342.0	13114	captive	herbivore	USA	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Diceros	Diceros_bicornis_michaeli
Tamandua_tetradactyla	33399500.0	13114	captive	carnivore	USA	Chordata	Mammalia	Pilosa	Myrmecophagidae	Tamandua	Tamandua_tetradactyla
Hypogeomys_antimena	23841310.0	13114	captive	herbivore	USA	Chordata	Mammalia	Rodentia	Nesomyidae	Hypogeomys	Hypogeomys_antimena
Melursus_ursinus	23510450.0	13114	captive	carnivore	USA	Chordata	Mammalia	Carnivora	Ursidae	Melursus	Melursus_ursinus
Equus_przewalskii	12005176.0	13114_13881	captive_wild	herbivore	Austria_Mongolia_USA	Chordata	Mammalia	Perissodactyla	Equidae	Equus	Equus_ferus_przewalskiiEquus_przewalskii
Felis_margarita	18749122.0	13114	captive	carnivore	USA	Chordata	Mammalia	Carnivora	Felidae	Felis	Felis_margarita
Tolypeutes_matacus	26783072.0	13114	captive	carnivore	USA	Chordata	Mammalia	Cingulata	Chlamyphoridae	Tolypeutes	Tolypeutes_matacus
Echinops_telfairi	19831638.0	13114	captive	carnivore	USA	Chordata	Mammalia	Afrosoricida	Tenrecomorpha	Echinops	Echinops_telfairi
